epoch,acc,loss,model
0,0.934,0.21052155084706684,softmax_relu
1,0.9545,0.1522016547888173,softmax_relu
2,0.9549,0.14610807718555757,softmax_relu
3,0.9641,0.1168972941309806,softmax_relu
4,0.9661,0.10520674823126615,softmax_relu
5,0.9668,0.10850388600328235,softmax_relu
6,0.9683,0.10313523119723056,softmax_relu
7,0.9697,0.10017595382226815,softmax_relu
8,0.9705,0.10039850063748301,softmax_relu
9,0.9681,0.10119788111731232,softmax_relu
10,0.9707,0.1016081604003825,softmax_relu
0,0.9314,0.22780417158248215,softmax_relu
1,0.953,0.15673287397154145,softmax_relu
2,0.954,0.1463532152590443,softmax_relu
3,0.963,0.11845391504154036,softmax_relu
4,0.9628,0.12284634621744973,softmax_relu
5,0.9671,0.10894715498222572,softmax_relu
6,0.968,0.100210212073218,softmax_relu
7,0.9666,0.10561304426665112,softmax_relu
8,0.9686,0.1004743653741105,softmax_relu
9,0.9667,0.10765715056830089,softmax_relu
10,0.97,0.09928222763806414,softmax_relu
0,0.9329,0.2233303113295121,softmax_relu
1,0.9509,0.16882263940658032,softmax_relu
2,0.9607,0.1266406016239448,softmax_relu
3,0.9638,0.11297437532383456,softmax_relu
4,0.9636,0.11756659253728148,softmax_relu
5,0.97,0.10189535898978762,softmax_relu
6,0.9703,0.09575405060705774,softmax_relu
7,0.9689,0.10239582206713538,softmax_relu
8,0.9713,0.09152654005374553,softmax_relu
9,0.9686,0.09950016714912062,softmax_relu
10,0.9728,0.09371506704269507,softmax_relu
0,0.9374,0.20601426838702597,softmax_relu
1,0.955,0.14834719739094956,softmax_relu
2,0.9624,0.12593036339141075,softmax_relu
3,0.963,0.11853199064358598,softmax_relu
4,0.964,0.11520089444217478,softmax_relu
5,0.9653,0.11178130530494536,softmax_relu
6,0.9683,0.09979180136352406,softmax_relu
7,0.9688,0.09719744839586553,softmax_relu
8,0.9714,0.09825198965937096,softmax_relu
9,0.9694,0.10024289450894068,softmax_relu
10,0.9707,0.0981300080671408,softmax_relu
0,0.9305,0.2273609170327055,softmax_relu
1,0.9471,0.17345968186019994,softmax_relu
2,0.9585,0.1383455123602717,softmax_relu
3,0.9611,0.12368875888794696,softmax_relu
4,0.9661,0.10958954502860463,softmax_relu
5,0.9666,0.1070114335796979,softmax_relu
6,0.9658,0.1074189987202299,softmax_relu
7,0.968,0.10211054608980687,softmax_relu
8,0.9691,0.09990608673085154,softmax_relu
9,0.9646,0.11144420489350043,softmax_relu
10,0.9681,0.10426953856446541,softmax_relu
0,0.9286,0.23491234445876075,softmax_relu
1,0.947,0.17462379369317638,softmax_relu
2,0.957,0.13580374307129714,softmax_relu
3,0.9621,0.11838538157634734,softmax_relu
4,0.9666,0.11099410533699225,softmax_relu
5,0.969,0.10217762072910593,softmax_relu
6,0.9654,0.11040430479359697,softmax_relu
7,0.9698,0.10151024386144973,softmax_relu
8,0.9705,0.097771369383236,softmax_relu
9,0.9684,0.10484864377319528,softmax_relu
10,0.9683,0.10790540809683109,softmax_relu
0,0.933,0.22317037312214624,softmax_relu
1,0.9472,0.16976605018654928,softmax_relu
2,0.9558,0.14461147716445064,softmax_relu
3,0.9612,0.13366484765346323,softmax_relu
4,0.9635,0.11768571380122457,softmax_relu
5,0.9641,0.11774024049014976,softmax_relu
6,0.9651,0.11113994131315165,softmax_relu
7,0.9671,0.10733216963621094,softmax_relu
8,0.9671,0.10929235825948884,softmax_relu
9,0.9709,0.09991981818323802,softmax_relu
10,0.9684,0.10590164177334703,softmax_relu
0,0.932,0.2196063668776254,softmax_relu
1,0.9506,0.15447569011313794,softmax_relu
2,0.9581,0.13480361033921703,softmax_relu
3,0.9616,0.12784398103767158,softmax_relu
4,0.961,0.12318787685087941,softmax_relu
5,0.9681,0.10173996592405049,softmax_relu
6,0.9654,0.10807716423477688,softmax_relu
7,0.9699,0.09935023112352111,softmax_relu
8,0.966,0.11224146650645542,softmax_relu
9,0.9689,0.10047084287690397,softmax_relu
10,0.9719,0.09846291362685253,softmax_relu
0,0.9318,0.22255768455311967,softmax_relu
1,0.9481,0.16113914969384005,softmax_relu
2,0.9581,0.13798399123663188,softmax_relu
3,0.9643,0.11023024729964263,softmax_relu
4,0.9672,0.10671238990496432,softmax_relu
5,0.971,0.09401174982628631,softmax_relu
6,0.9694,0.09379003011412088,softmax_relu
7,0.9736,0.08548805826153066,softmax_relu
8,0.9719,0.09112205489941878,softmax_relu
9,0.9737,0.08572477095919577,softmax_relu
10,0.9718,0.09183202664783428,softmax_relu
0,0.9278,0.23851993015910167,softmax_relu
1,0.9471,0.16771819370796567,softmax_relu
2,0.9571,0.1314618812441342,softmax_relu
3,0.9644,0.11511874774148394,softmax_relu
4,0.967,0.10484358942337614,softmax_relu
5,0.9665,0.10948356545112156,softmax_relu
6,0.969,0.09497908049560858,softmax_relu
7,0.9698,0.09800035614290685,softmax_relu
8,0.9689,0.10630460454296371,softmax_relu
9,0.9723,0.08987356396932286,softmax_relu
10,0.9706,0.09246853514973587,softmax_relu
