epoch,acc,loss,time,model
0,0.9092,0.10501634643182887,3.861210584640503,relu
1,0.9233,0.08643400970036691,3.798826217651367,relu
2,0.9359,0.07119677692074372,3.795128107070923,relu
3,0.9355,0.06692191843107534,3.8281736373901367,relu
4,0.9422,0.062477007240720694,3.805534839630127,relu
5,0.9464,0.057265549206529716,3.8154542446136475,relu
6,0.9477,0.05412437005485101,3.783811092376709,relu
7,0.9494,0.05332679031499789,3.8013815879821777,relu
8,0.9514,0.052032011784125476,3.8031349182128906,relu
9,0.9539,0.04905732361105829,3.807251214981079,relu
10,0.9523,0.048389765184632054,3.8036458492279053,relu
0,0.9177,0.10055513623727112,3.7894506454467773,relu
1,0.939,0.07554970589273001,3.795539140701294,relu
2,0.945,0.06681743470688944,3.8063435554504395,relu
3,0.9485,0.06124104068974032,3.8010551929473877,relu
4,0.9534,0.05551136393579194,3.8103902339935303,relu
5,0.9552,0.05077794684780124,3.7957205772399902,relu
6,0.9576,0.04759039917804525,3.776815176010132,relu
7,0.9599,0.04665075247785472,3.777768611907959,relu
8,0.962,0.04492599056444064,3.8011584281921387,relu
9,0.9616,0.04561073511301712,3.8117849826812744,relu
10,0.9624,0.042753711198161744,4.00643515586853,relu
0,0.9167,0.10473099123310783,4.079815864562988,relu
1,0.933,0.08197314402790772,4.040708780288696,relu
2,0.938,0.0717625645082343,4.0122902393341064,relu
3,0.9444,0.06616470877133546,4.015516996383667,relu
4,0.9455,0.059350585257911245,4.032156705856323,relu
5,0.947,0.0583750001199262,4.027874231338501,relu
6,0.9499,0.05288965812200655,3.8553245067596436,relu
7,0.9509,0.051032882025070926,3.786708354949951,relu
8,0.9513,0.049220112849082856,3.821462869644165,relu
9,0.9519,0.04801821388668453,3.8040566444396973,relu
10,0.9548,0.047227417694285054,3.771022319793701,relu
0,0.9045,0.10416178571451537,3.9585561752319336,relu
1,0.9187,0.08352750201514896,4.048611640930176,relu
2,0.9253,0.07624427671184722,4.0235326290130615,relu
3,0.9273,0.07106636024237835,4.049984693527222,relu
4,0.9344,0.06309779665192042,4.045000791549683,relu
5,0.9339,0.06254194750532151,4.029780387878418,relu
6,0.9377,0.05832105370583075,4.028746604919434,relu
7,0.9392,0.05706263303492507,4.038287162780762,relu
8,0.9392,0.05460676266695805,4.04478120803833,relu
9,0.9408,0.05335166695055928,4.045083999633789,relu
10,0.9425,0.05163672876081397,4.008118152618408,relu
0,0.9162,0.09892058012010428,4.026087522506714,relu
1,0.9283,0.0819431304405695,4.032740592956543,relu
2,0.9376,0.06766144491739345,3.7875280380249023,relu
3,0.9414,0.06289177405731115,3.79791522026062,relu
4,0.9473,0.058174861323153484,3.8094394207000732,relu
5,0.9484,0.054287570341614286,3.790229320526123,relu
6,0.951,0.05394411691187854,3.763068914413452,relu
7,0.9525,0.051037112534921374,3.8011176586151123,relu
8,0.9558,0.049103531679051834,3.783722400665283,relu
9,0.9559,0.046356874349389225,3.796483278274536,relu
10,0.9559,0.04790836705942945,3.804544448852539,relu
0,0.9177,0.09981366992868641,3.804939031600952,relu
1,0.9338,0.08147768441512833,3.7753655910491943,relu
2,0.9393,0.07143627478906153,3.7798585891723633,relu
3,0.9463,0.0655762233196884,3.7794106006622314,relu
4,0.9486,0.0600580662497221,3.7885663509368896,relu
5,0.9505,0.058158686336022176,3.7795255184173584,relu
6,0.9532,0.05319226115630644,3.7907297611236572,relu
7,0.9546,0.05175327156144282,3.766793727874756,relu
8,0.9567,0.04837770375291544,3.7810890674591064,relu
9,0.9574,0.04746020625840436,3.7877626419067383,relu
10,0.9589,0.044867194904590436,3.788038969039917,relu
0,0.9209,0.10020207637256091,3.7578577995300293,relu
1,0.9324,0.0812380067552183,3.7885324954986572,relu
2,0.9386,0.07061084707141263,3.82420015335083,relu
3,0.9419,0.06496708329440119,3.7789793014526367,relu
4,0.9443,0.05915183365910292,3.784982204437256,relu
5,0.9487,0.05543921268647285,3.793971061706543,relu
6,0.951,0.05243216195534743,3.8040122985839844,relu
7,0.9487,0.0504423067669919,3.7888524532318115,relu
8,0.9507,0.05040871121570204,3.781878709793091,relu
9,0.9551,0.0461624119227522,3.7887964248657227,relu
10,0.9553,0.04682891171683737,3.8536126613616943,relu
0,0.9114,0.10314407152294008,3.7801520824432373,relu
1,0.9257,0.08137908874121243,3.778606414794922,relu
2,0.9322,0.07296641342229285,3.813518762588501,relu
3,0.9383,0.0654639699522238,3.766857862472534,relu
4,0.9393,0.06143786855141574,3.7734427452087402,relu
5,0.9414,0.0587654943551631,3.7623157501220703,relu
6,0.9432,0.05717515653746693,3.7748806476593018,relu
7,0.944,0.0557173644229948,3.7753405570983887,relu
8,0.9466,0.05284715701761212,3.7696421146392822,relu
9,0.9475,0.05139390866879911,3.7816660404205322,relu
10,0.9487,0.0503319428811883,3.7771780490875244,relu
0,0.9215,0.0941134142347083,3.7561116218566895,relu
1,0.935,0.07806146562306092,3.784728527069092,relu
